,Monthly Solar Production (kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Alpharetta Library,Wolf Creek Library,Metropolitan Library,Northwest Library,Southeast Atlanta Library,Neighbor-hood Union Health,College Park Regional Health,Milton Library,E Roswell Library,Maxwell Rd (Driver Services),Benson Senior Center,Aviation Cultural Center,Mills Senior Center,Dogwood Library,Palmetto Library,Cascade (SW) Library,South Fulton Service Center,Juvenile Justice Center,Ponce de Leon (JP) Library,New Beginnings Senior Center,Medical Examiner,Gladys Dennard Library,Board of Health,Dogwood Senior Center,College Park Library,Animal Services,Adamsville (AC) Library,Union City Jail,Sandy Springs Library,QLS Senior Center,North Fulton Service Center,Bowden Senior Center,Cleveland Ave Library,Adams Park Library,SE Neighborhood Senior Center,Total kWh Produced,GRAND TOTAL,eGRID 2023 subregion SRSO CO2e non-baseload output emission rate (lb/MWh)*,CO2e savings (lbs),,,
Apr-21,"5,382","7,949","9,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,558","4,174,389","1,392.345","5,812,189",,,
May-21,"9,980","7,422","17,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,845","6,754,479",new contract annual production,"9,404,565",,,
Jun-21,"8,842","13,795","15,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,075","7,430,352",new contract + old contract annual production,"10,345,613",,,
Jul-21,"8,958","14,854","13,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,293",,,,,,
Aug-21,"8,526","14,590","16,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,100",,,,,,
Sep-21,"7,550","5,768","12,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,273",,,,,,
Oct-21,"5,992","10,166","10,833","8,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,622",,,,,,
Nov-21,"5,976","9,536","10,383","8,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,343",,,,,,
Dec-21,"3,433","5,510","5,840","4,706","1,895","1,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,403",,,,,,
Jan-22,"4,838","8,237","8,604","6,926","2,778","1,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,899",,,,,,
Feb-22,"5,841","9,450","9,516","7,862","3,194","1,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,556",,,,,,
Mar-22,"8,254","13,793","13,869","11,038","4,515","2,394","7,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,994",,,,,,
Apr-22,"8,739","13,528","14,933","12,025","4,886","2,518","17,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,989",,,,,,
May-22,"9,591","16,181","16,227","13,081","5,558","2,746","18,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,210",,,,,,
Jun-22,"9,640","16,489","16,606","13,004","5,671","2,765","18,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,031",,,,,,
Jul-22,"9,142","13,914","15,278","12,246","5,167","2,612","17,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,498",,,,,,
Aug-22,"7,930","12,070","13,425","11,129","4,523","2,239","14,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,303",,,,,,
Sep-22,"8,079","11,923","13,573","11,064","4,483","2,237","15,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,175",,,,,,
Oct-22,"7,321","12,183","12,607","10,220","4,092","2,082","15,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,572",,,,,,
Nov-22,"4,759","8,074","8,333","6,728","2,715","1,429","7,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,497",,,,,,
Dec-22,"3,421","5,974","6,125","4,858","1,959","1,059","7,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,864",,,,,,
Jan-23,"3,937","7,083","6,992","5,537","2,294","1,197","8,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,735","675,873",2023 kWh total,"941,048",,,
Feb-23,"4,473","7,822","7,758","6,120","2,647","1,333","9,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,531",,,,,,
Mar-23,"7,353","12,153","12,363","9,842","4,281","2,138","14,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,902",,,,,,
Apr-23,"8,095","12,271","13,353","10,433","4,667","2,310","15,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,783",,,,,,
May-23,"8,809","11,812","14,007","10,883","4,954","2,488","15,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,807",,,,,,
Jun-23,"8,448","12,311","14,118","11,166","4,969","2,640","16,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,899",,,,,,
Jul-23,"9,191","15,058","15,714","12,103","5,394","2,679","17,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,982",,,,,,
Aug-23,"8,229","13,738","13,782","10,940","4,872","2,538","16,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,199",,,,,,
Sep-23,"7,339","11,143","11,878","9,589","4,114","2,150","13,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,930",,,,,,
Oct-23,"6,248","9,426","10,278","8,301","3,520","1,888","12,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,162",,,,,,
Nov-23,"4,633","7,048","7,802","6,177","2,649","1,413","9,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,980",,,,,,
